Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-06-29&team=Braves&dh=0"">2016-06-29</a>",ATL,CLE,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-28&team=Braves&dh=0"">2016-06-28</a>",ATL,CLE,3,1B,1,4,4,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-06-27&team=Braves&dh=0"">2016-06-27</a>",ATL,CLE,3,1B,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-26&team=Braves&dh=0"">2016-06-26</a>",ATL,NYM,3,1B,1,3,4,3,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-06-25&team=Braves&dh=0"">2016-06-25</a>",ATL,NYM,3,1B,1,4,5,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-24&team=Braves&dh=0"">2016-06-24</a>",ATL,NYM,3,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-06-23&team=Braves&dh=0"">2016-06-23</a>",ATL,NYM,3,1B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-22&team=Braves&dh=0"">2016-06-22</a>",ATL,@MIA,3,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-21&team=Braves&dh=0"">2016-06-21</a>",ATL,@MIA,3,1B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-19&team=Braves&dh=0"">2016-06-19</a>",ATL,@NYM,3,1B,1,5,5,4,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-06-18&team=Braves&dh=0"">2016-06-18</a>",ATL,@NYM,3,1B,1,3,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-17&team=Braves&dh=0"">2016-06-17</a>",ATL,@NYM,3,1B,1,5,5,3,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.6
"<a href=""wins.aspx?date=2016-06-16&team=Braves&dh=0"">2016-06-16</a>",ATL,CIN,3,1B,1,4,4,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-06-15&team=Braves&dh=0"">2016-06-15</a>",ATL,CIN,3,1B,1,7,7,4,1,1,1,1,2,1,0,0,2,0,0,0,0,0,0,0.571
"<a href=""wins.aspx?date=2016-06-14&team=Braves&dh=0"">2016-06-14</a>",ATL,CIN,3,1B,1,2,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-13&team=Braves&dh=0"">2016-06-13</a>",ATL,CIN,3,1B,1,5,5,3,1,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-06-12&team=Braves&dh=0"">2016-06-12</a>",ATL,CHC,3,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25
"<a href=""wins.aspx?date=2016-06-11&team=Braves&dh=0"">2016-06-11</a>",ATL,CHC,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-10&team=Braves&dh=0"">2016-06-10</a>",ATL,CHC,3,1B,1,3,5,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-08&team=Braves&dh=0"">2016-06-08</a>",ATL,@SDP,3,1B,1,2,5,1,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-07&team=Braves&dh=0"">2016-06-07</a>",ATL,@SDP,3,1B,1,3,4,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-06-06&team=Braves&dh=0"">2016-06-06</a>",ATL,@SDP,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-05&team=Braves&dh=0"">2016-06-05</a>",ATL,@LAD,3,1B,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-04&team=Braves&dh=0"">2016-06-04</a>",ATL,@LAD,3,1B,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-06-03&team=Braves&dh=0"">2016-06-03</a>",ATL,@LAD,3,1B,1,2,4,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-02&team=Braves&dh=0"">2016-06-02</a>",ATL,SFG,3,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-01&team=Braves&dh=0"">2016-06-01</a>",ATL,SFG,3,1B,1,4,5,1,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-31&team=Braves&dh=0"">2016-05-31</a>",ATL,SFG,3,1B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-30&team=Braves&dh=0"">2016-05-30</a>",ATL,SFG,3,1B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-29&team=Braves&dh=0"">2016-05-29</a>",ATL,MIA,3,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-28&team=Braves&dh=0"">2016-05-28</a>",ATL,MIA,3,1B,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-27&team=Braves&dh=0"">2016-05-27</a>",ATL,MIA,3,1B,1,4,5,2,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-05-26&team=Braves&dh=0"">2016-05-26</a>",ATL,MIL,3,1B,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-05-25&team=Braves&dh=0"">2016-05-25</a>",ATL,MIL,3,1B,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-24&team=Braves&dh=0"">2016-05-24</a>",ATL,MIL,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-22&team=Braves&dh=0"">2016-05-22</a>",ATL,@PHI,3,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-21&team=Braves&dh=0"">2016-05-21</a>",ATL,@PHI,3,1B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-20&team=Braves&dh=0"">2016-05-20</a>",ATL,@PHI,3,1B,1,5,5,2,0,0,0,2,2,4,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-05-19&team=Braves&dh=0"">2016-05-19</a>",ATL,@PIT,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-18&team=Braves&dh=0"">2016-05-18</a>",ATL,@PIT,3,1B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-05-17&team=Braves&dh=0"">2016-05-17</a>",ATL,@PIT,3,1B,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-16&team=Braves&dh=0"">2016-05-16</a>",ATL,@PIT,3,1B,1,4,4,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-05-15&team=Braves&dh=0"">2016-05-15</a>",ATL,@KCR,3,1B,1,6,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.167
"<a href=""wins.aspx?date=2016-05-14&team=Braves&dh=0"">2016-05-14</a>",ATL,@KCR,3,1B,1,2,4,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-05-13&team=Braves&dh=0"">2016-05-13</a>",ATL,@KCR,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-12&team=Braves&dh=0"">2016-05-12</a>",ATL,PHI,3,1B,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-11&team=Braves&dh=0"">2016-05-11</a>",ATL,PHI,3,1B,1,4,4,3,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-05-10&team=Braves&dh=0"">2016-05-10</a>",ATL,PHI,3,1B,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-05-08&team=Braves&dh=0"">2016-05-08</a>",ATL,ARI,3,1B,1,4,6,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-07&team=Braves&dh=0"">2016-05-07</a>",ATL,ARI,3,1B,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-06&team=Braves&dh=0"">2016-05-06</a>",ATL,ARI,3,1B,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.5
"<a href=""wins.aspx?date=2016-05-04&team=Braves&dh=0"">2016-05-04</a>",ATL,@NYM,3,1B,1,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-03&team=Braves&dh=0"">2016-05-03</a>",ATL,@NYM,3,1B,1,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-05-02&team=Braves&dh=0"">2016-05-02</a>",ATL,@NYM,3,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-01&team=Braves&dh=0"">2016-05-01</a>",ATL,@CHC,3,1B,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-04-29&team=Braves&dh=0"">2016-04-29</a>",ATL,@CHC,3,1B,1,4,4,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-04-28&team=Braves&dh=0"">2016-04-28</a>",ATL,@BOS,4,1B,1,4,5,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.75
