Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-07-04&team=Indians&dh=0"">2016-07-04</a>",CLE,DET,6,LF-3B,1,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5
"<a href=""wins.aspx?date=2016-07-03&team=Indians&dh=0"">2016-07-03</a>",CLE,@TOR,6,3B-2B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-02&team=Indians&dh=0"">2016-07-02</a>",CLE,@TOR,3,SS-3B,1,5,5,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-07-01&team=Indians&dh=0"">2016-07-01</a>",CLE,@TOR,5,3B,1,8,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-30&team=Indians&dh=0"">2016-06-30</a>",CLE,@TOR,5,LF-3B,1,4,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-29&team=Indians&dh=0"">2016-06-29</a>",CLE,@ATL,5,3B,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-28&team=Indians&dh=0"">2016-06-28</a>",CLE,@ATL,4,LF-3B,1,4,5,2,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0.5
"<a href=""wins.aspx?date=2016-06-27&team=Indians&dh=0"">2016-06-27</a>",CLE,@ATL,6,3B,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-26&team=Indians&dh=0"">2016-06-26</a>",CLE,@DET,5,2B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-25&team=Indians&dh=0"">2016-06-25</a>",CLE,@DET,5,3B,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
