Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-05-17&team=Blue Jays&dh=0"">2016-05-17</a>",TOR,TBR,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-16&team=Blue Jays&dh=0"">2016-05-16</a>",TOR,TBR,2,3B,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-15&team=Blue Jays&dh=0"">2016-05-15</a>",TOR,@TEX,2,3B,1,4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-14&team=Blue Jays&dh=0"">2016-05-14</a>",TOR,@TEX,2,3B,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-13&team=Blue Jays&dh=0"">2016-05-13</a>",TOR,@TEX,2,3B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-11&team=Blue Jays&dh=0"">2016-05-11</a>",TOR,@SFG,2,3B,1,6,7,4,3,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0.667
"<a href=""wins.aspx?date=2016-05-10&team=Blue Jays&dh=0"">2016-05-10</a>",TOR,@SFG,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-09&team=Blue Jays&dh=0"">2016-05-09</a>",TOR,@SFG,2,3B,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-08&team=Blue Jays&dh=0"">2016-05-08</a>",TOR,LAD,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-07&team=Blue Jays&dh=0"">2016-05-07</a>",TOR,LAD,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-06&team=Blue Jays&dh=0"">2016-05-06</a>",TOR,LAD,2,3B,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0
"<a href=""wins.aspx?date=2016-05-05&team=Blue Jays&dh=0"">2016-05-05</a>",TOR,TEX,2,3B,1,3,5,1,1,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-04&team=Blue Jays&dh=0"">2016-05-04</a>",TOR,TEX,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-05-03&team=Blue Jays&dh=0"">2016-05-03</a>",TOR,TEX,2,3B,1,3,5,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-05-02&team=Blue Jays&dh=0"">2016-05-02</a>",TOR,TEX,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-05-01&team=Blue Jays&dh=0"">2016-05-01</a>",TOR,@TBR,2,3B,1,3,4,1,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0.333
"<a href=""wins.aspx?date=2016-04-30&team=Blue Jays&dh=0"">2016-04-30</a>",TOR,@TBR,2,3B,1,2,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-04-29&team=Blue Jays&dh=0"">2016-04-29</a>",TOR,@TBR,2,3B,1,3,4,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-04-27&team=Blue Jays&dh=0"">2016-04-27</a>",TOR,CHW,2,3B,1,3,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-04-26&team=Blue Jays&dh=0"">2016-04-26</a>",TOR,CHW,2,DH,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
