Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-07-05&team=Diamondbacks&dh=0"">2016-07-05</a>",ARI,SDP,1,2B,1,4,4,3,2,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-07-04&team=Diamondbacks&dh=0"">2016-07-04</a>",ARI,SDP,1,2B,1,5,5,3,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.6
"<a href=""wins.aspx?date=2016-07-03&team=Diamondbacks&dh=0"">2016-07-03</a>",ARI,SFG,1,SS,1,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-02&team=Diamondbacks&dh=0"">2016-07-02</a>",ARI,SFG,1,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-01&team=Diamondbacks&dh=0"">2016-07-01</a>",ARI,SFG,1,2B-SS,1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-29&team=Diamondbacks&dh=0"">2016-06-29</a>",ARI,PHI,1,SS-2B,1,5,6,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-06-28&team=Diamondbacks&dh=0"">2016-06-28</a>",ARI,PHI,1,2B,1,4,5,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-27&team=Diamondbacks&dh=0"">2016-06-27</a>",ARI,PHI,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-26&team=Diamondbacks&dh=0"">2016-06-26</a>",ARI,@COL,1,SS-2B,1,4,5,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-06-25&team=Diamondbacks&dh=0"">2016-06-25</a>",ARI,@COL,1,2B,1,1,5,0,0,0,0,0,2,1,4,0,0,0,0,0,0,1,0,0
"<a href=""wins.aspx?date=2016-06-24&team=Diamondbacks&dh=0"">2016-06-24</a>",ARI,@COL,1,SS-2B,1,6,6,3,1,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0.5
"<a href=""wins.aspx?date=2016-06-23&team=Diamondbacks&dh=0"">2016-06-23</a>",ARI,@COL,1,SS-2B,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-06-22&team=Diamondbacks&dh=0"">2016-06-22</a>",ARI,@TOR,1,2B-SS,1,4,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-06-21&team=Diamondbacks&dh=0"">2016-06-21</a>",ARI,@TOR,1,2B,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0
"<a href=""wins.aspx?date=2016-06-20&team=Diamondbacks&dh=0"">2016-06-20</a>",ARI,@PHI,1,2B,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-06-19&team=Diamondbacks&dh=0"">2016-06-19</a>",ARI,@PHI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-06-18&team=Diamondbacks&dh=0"">2016-06-18</a>",ARI,@PHI,1,2B,1,4,5,2,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-06-17&team=Diamondbacks&dh=0"">2016-06-17</a>",ARI,@PHI,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-06-15&team=Diamondbacks&dh=0"">2016-06-15</a>",ARI,LAD,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
